"gene_id","chromosome","gene_entrez_id","gene_symbol","gene_name"
"500699669","1",497097,"Xkr4","X Kell blood group precursor related family member 4"
"500699677","1",20671,"Sox17","SRY (sex determining region Y)-box 17"
"500699687","1",27395,"Mrpl15","mitochondrial ribosomal protein L15"
"500699688","1",18777,"Lypla1","lysophospholipase 1"
"500699690","1",21399,"Tcea1","transcription elongation factor A (SII) 1"
"500699692","1",58175,"Rgs20","regulator of G-protein signaling 20"
"500699695","1",108664,"Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
"500699698","1",18387,"Oprk1","opioid receptor, kappa 1"
"500699699","1",226304,"Npbwr1","neuropeptides B/W receptor 1"
"500699701","1",654788,"4732440D04Rik","RIKEN cDNA 4732440D04 gene"
"500699702","1",12421,"Rb1cc1","RB1-inducible coiled-coil 1"
"500699707","1",240690,"St18","suppression of tumorigenicity 18"
"500699711","1",319263,"Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"500699719","1",665069,"Rps2-ps2","ribosomal protein S2, pseudogene 2"
"500699722","1",71096,"Sntg1","syntrophin, gamma 1"
"500699732","1",59014,"Rrs1","RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)"
"500699733","1",76187,"Adhfe1","alcohol dehydrogenase, iron containing, 1"
"500699734","1",72481,"2610203C22Rik","RIKEN cDNA 2610203C22 gene"
"500699736","1",76982,"3110035E14Rik","RIKEN cDNA 3110035E14 gene"
"500699737","1",17864,"Mybl1","myeloblastosis oncogene-like 1"
"500699738","1",70675,"Vcpip1","valosin containing protein (p97)/p47 complex interacting protein 1"
"500699739","1",73331,"1700034P13Rik","RIKEN cDNA 1700034P13 gene"
"500699741","1",170755,"Sgk3","serum/glucocorticoid regulated kinase 3"
"500699744","1",240697,"Mcmdc2","minichromosome maintenance domain containing 2"
"500699745","1",73824,"Snhg6","small nucleolar RNA host gene 6"
"500699748","1",69312,"Ppp1r42","protein phosphatase 1, regulatory subunit 42"
"500699749","1",26754,"Cops5","COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)"
"500699750","1",211660,"Cspp1","centrosome and spindle pole associated protein 1"
"500699751","1",211673,"Arfgef1","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)"
"500699752","1",329093,"Cpa6","carboxypeptidase A6"
"500699756","1",109294,"Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"500699757","1",320492,"A830018L16Rik","RIKEN cDNA A830018L16 gene"
"500699766","1",240725,"Sulf1","sulfatase 1"
"500699767","1",240726,"Slco5a1","solute carrier organic anion transporter family, member 5A1"
"500699771","1",17978,"Ncoa2","nuclear receptor coactivator 2"
"500699777","1",72265,"Tram1","translocating chain-associating membrane protein 1"
"500699778","1",212442,"Lactb2","lactamase, beta 2"
"500699785","1",14048,"Eya1","eyes absent 1 homolog (Drosophila)"
"500699787","1",17681,"Msc","musculin"
"500699789","1",114607,"Smt3h2-ps4","SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae)"
"500699790","1",665407,"Rpl5-ps1","ribosomal protein L5, pseudogene 1"
"500699796","1",98741,"Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2"
"500699799","1",21749,"Terf1","telomeric repeat binding factor 1"
"500699800","1",226866,"Sbspon","somatomedin B and thrombospondin, type 1 domain containing"
"500699803","1",75799,"4930444P10Rik","RIKEN cDNA 4930444P10 gene"
"500699804","1",19989,"Rpl7","ribosomal protein L7"
"500699805","1",98711,"Rdh10","retinol dehydrogenase 10 (all-trans)"
"500699806","1",29819,"Stau2","staufen (RNA binding protein) homolog 2 (Drosophila)"
"500699808","1",66799,"Ube2w","ubiquitin-conjugating enzyme E2W (putative)"
"500699810","1",67923,"Tceb1","transcription elongation factor B (SIII), polypeptide 1"
"500699811","1",329101,"D030040B21Rik","RIKEN cDNA D030040B21 gene"
"500699813","1",70397,"Tmem70","transmembrane protein 70"
"500699815","1",17087,"Ly96","lymphocyte antigen 96"
"500699817","1",57339,"Jph1","junctophilin 1"
"500699820","1",14545,"Gdap1","ganglioside-induced differentiation-associated-protein 1"
"500699824","1",108212,"Rbm6-ps1","RNA binding motif protein 6, pseudogene 1"
"500699826","1",94227,"Pi15","peptidase inhibitor 15"
"500699829","1",83691,"Crispld1","cysteine-rich secretory protein LCCL domain containing 1"
"500699834","1",78081,"Crisp4","cysteine-rich secretory protein 4"
"500699845","1",21419,"Tfap2b","transcription factor AP-2 beta"
"500699855","1",257630,"Il17f","interleukin 17F"
"500699856","1",17215,"Mcm3","minichromosome maintenance deficient 3 (S. cerevisiae)"
"500699858","1",77741,"6720483E21Rik","RIKEN cDNA 6720483E21 gene"
"500699859","1",74229,"Paqr8","progestin and adipoQ receptor family member VIII"
"500699860","1",71877,"Efhc1","EF-hand domain (C-terminal) containing 1"
"500699861","1",170829,"Tram2","translocating chain-associating membrane protein 2"
"500699862","1",75712,"Tmem14a","transmembrane protein 14A"
"500699866","1",14859,"Gsta3","glutathione S-transferase, alpha 3"
"500699875","1",98582,"Khdc1b","KH domain containing 1B"
"500699876","1",226922,"Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"500699879","1",116837,"Rims1","regulating synaptic membrane exocytosis 1"
"500699888","1",70155,"Ogfrl1","opioid growth factor receptor-like 1"
"500699892","1",280645,"B3gat2","beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)"
"500699893","1",98366,"Smap1","small ArfGAP 1"
"500699896","1",68002,"1110058L19Rik","RIKEN cDNA 1110058L19 gene"
"500699897","1",68187,"Fam135a","family with sequence similarity 135, member A"
"500699899","1",12839,"Col9a1","collagen, type IX, alpha 1"
"500699900","1",12823,"Col19a1","collagen, type XIX, alpha 1"
"500699901","1",665829,"Tubb4b-ps2","tubulin, beta 4B class IVB, pseudogene 2"
"500699904","1",68421,"Lmbrd1","LMBR1 domain containing 1"
"500699907","1",210933,"Bai3","brain-specific angiogenesis inhibitor 3"
"500699935","1",213109,"Phf3","PHD finger protein 3"
"500699937","1",19243,"Ptp4a1","protein tyrosine phosphatase 4a1"
"500699944","1",70988,"4931428L18Rik","RIKEN cDNA 4931428L18 gene"
"500699954","1",170771,"Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2"
"500699964","1",19076,"Prim2","DNA primase, p58 subunit"
"500699968","1",67503,"1700001G17Rik","RIKEN cDNA 1700001G17 gene"
"500699970","1",19335,"Rab23","RAB23, member RAS oncogene family"
"500699971","1",213539,"Bag2","BCL2-associated athanogene 2"
"500699972","1",98403,"Zfp451","zinc finger protein 451"
"500699974","1",320705,"Bend6","BEN domain containing 6"
"500699976","1",13518,"Dst","dystonin"
"500699982","1",69668,"Ccdc115","coiled-coil domain containing 115"
"500699983","1",27993,"Imp4","IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)"
"500699985","1",19253,"Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"500699987","1",75883,"4930568A12Rik","RIKEN cDNA 4930568A12 gene"
"500699993","1",211383,"Amer3","APC membrane recruitment 3"
"500699999","1",226970,"Arhgef4","Rho guanine nucleotide exchange factor (GEF) 4"
"500700000","1",214469,"Fam168b","family with sequence similarity 168, member B"
"500700001","1",226971,"Plekhb2","pleckstrin homology domain containing, family B (evectins) member 2"
"500700005","1",68483,"1110002O04Rik","RIKEN cDNA 1110002O04 gene"
"500700012","1",50785,"Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"500700014","1",320011,"Uggt1","UDP-glucose glycoprotein glucosyltransferase 1"
"500700018","1",214854,"Neurl3","neuralized homolog 3 homolog (Drosophila)"
"500700019","1",214855,"Arid5a","AT rich interactive domain 5A (MRF1-like)"
"500700020","1",226976,"Kansl3","KAT8 regulatory NSL complex subunit 3"
"500700022","1",100534273,"Fer1l5","fer-1-like 5 (C. elegans)"
"500700023","1",214895,"Lman2l","lectin, mannose-binding 2-like"
"500700026","1",94220,"Cnnm4","cyclin M4"
"500700027","1",94218,"Cnnm3","cyclin M3"
"500700028","1",78321,"Ankrd23","ankyrin repeat domain 23"
"500700029","1",109346,"Ankrd39","ankyrin repeat domain 39"
"500700030","1",20353,"Sema4c","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"500700031","1",381337,"Fam178b","family with sequence similarity 178, member B"
"500700032","1",12859,"Cox5b","cytochrome c oxidase subunit Vb"
"500700033","1",226977,"Actr1b","ARP1 actin-related protein 1B, centractin beta"
"500700034","1",71166,"4933424G06Rik","RIKEN cDNA 4933424G06 gene"
"500700036","1",22637,"Zap70","zeta-chain (TCR) associated protein kinase"
"500700038","1",56030,"Tmem131","transmembrane protein 131"
"500700039","1",241053,"Rpl12-ps1","ribosomal protein L12, pseudogene 1"
"500700040","1",70853,"Vwa3b","von Willebrand factor A domain containing 3B"
"500700043","1",12790,"Cnga3","cyclic nucleotide gated channel alpha 3"
"500700045","1",269180,"Inpp4a","inositol polyphosphate-4-phosphatase, type I"
"500700046","1",78119,"4930439A04Rik","RIKEN cDNA 4930439A04 gene"
"500700047","1",76178,"Coa5","cytochrome C oxidase assembly factor 5"
"500700048","1",67387,"Unc50","unc-50 homolog (C. elegans)"
"500700049","1",269181,"Mgat4a","mannoside acetylglucosaminyltransferase 4, isoenzyme A"
"500700050","1",77633,"4930594C11Rik","RIKEN cDNA 4930594C11 gene"
"500700052","1",72097,"2010300C02Rik","RIKEN cDNA 2010300C02 gene"
"500700056","1",211484,"Tsga10","testis specific 10"
"500700057","1",623661,"Lipt1","lipoyltransferase 1"
"500700058","1",69028,"Mitd1","MIT, microtubule interacting and transport, domain containing 1"
"500700059","1",107734,"Mrpl30","mitochondrial ribosomal protein L30"
"500700060","1",332427,"Lyg2","lysozyme G-like 2"
"500700062","1",98258,"Txndc9","thioredoxin domain containing 9"
"500700063","1",226982,"Eif5b","eukaryotic translation initiation factor 5B"
"500700065","1",56210,"Rev1","REV1 homolog (S. cerevisiae)"
"500700068","1",16764,"Aff3","AF4/FMR2 family, member 3"
"500700073","1",381338,"Lonrf2","LON peptidase N-terminal domain and ring finger 2"
"500700074","1",98388,"Chst10","carbohydrate sulfotransferase 10"
"500700076","1",433292,"Nms","neuromedin S"
"500700078","1",68833,"Pdcl3","phosducin-like 3"
"500700081","1",18143,"Npas2","neuronal PAS domain protein 2"
